sequence_id,t,X,Y,vx,vy,speed,motion_class,distance,threat,intent
0,0,4.177220427703762,171.09573823281886,0.5113797765746031,15.669347729023011,15.677690120962593,2,171.14672305345172,0.18060061538917954,retreat
0,1,3.879313918793484,188.38738804857786,-0.29790650891027814,17.291649815759,17.294215843422606,2,188.4273256516846,0.15193944031336018,retreat
0,2,4.546663219583421,205.86537378958536,0.6673493007899371,17.477985741007497,17.49072155893307,2,205.9155755933922,0.12756161758667128,retreat
0,3,4.32831624531496,225.67321485875618,-0.2183469742684608,19.80784106917083,19.809044480305023,2,225.71471867427206,0.10464860223564096,retreat
0,4,4.24257588380339,247.60961342993625,-0.08574036151157033,21.936398571180057,21.936566132447954,2,247.6459571910115,0.08404023792557928,retreat
0,5,4.329107038319167,272.10178323514697,0.08653115451577739,24.492169805210715,24.492322662580968,2,272.13621884544534,0.0657850816859353,retreat
0,6,3.8522507483046295,298.86845978053185,-0.47685629001453766,26.766676545384893,26.770923876597614,2,298.8932854505353,0.05034112937897102,retreat
0,7,3.0528964476791622,329.87232675269695,-0.7993543006254673,31.003866972165103,31.01416989902581,2,329.8864533956469,0.036925070770826504,retreat
0,8,3.498768450977962,362.0914101401765,0.44587200329879983,32.21908338747952,32.222168396504365,2,362.1083134615596,0.026753682953418224,retreat
0,9,5.115201931595995,399.81186078245264,1.6164334806180327,37.72045064227612,37.755069247104444,2,399.8445814477524,0.018344126921639718,retreat
1,0,-49.82305816455412,92.9415357424237,0.9972641125310332,-0.08207500540598933,1.0006358062025875,1,105.45362104275398,0.348353952777211,idle
1,1,-49.70528688818777,92.35458321885221,0.11777127636634745,-0.5869525235714866,0.5986512661507492,-2,104.88081133441402,0.3503550839031821,idle
1,2,-49.94665515855129,92.69381171016101,-0.24136827036351413,0.3392284913087956,0.416334734623375,2,105.2939271320337,0.3489106972527443,idle
1,3,-49.58377763810936,92.32190349887638,0.3628775204419242,-0.3719082112846309,0.5196112127956947,-2,104.79448874116099,0.3506576500698935,idle
1,4,-50.02373225456867,92.54917260601562,-0.4399546164593123,0.22726910713924298,0.4951881577781614,-1,105.20324680700138,0.3492272341037178,idle
1,5,-50.99135761403317,92.94545353409552,-0.9676253594645021,0.39628092807990406,1.045627758926989,-1,106.01403625926582,0.3464071843069952,idle
